0.0008	87.77	30
0.1926	290.4	31
0.0039	103.5	40
0.19273	557.0	188.4
0.00867	114.1	38
0.2044	343.8	35
0.0190	198.5	58.12
0.21	549.5	48.0
0.0238	283.75	31
0.2115	312.5	85.18
0.027	209.4	125.8
0.214	729.0	34.0
0.0298	131.4	61.51
0.03024	112.51	19.91
0.234	506.92	44.7
0.03122	128.16	48.75
0.2365	504.13	38
0.0337	348.76	200
0.2395	490.7	131.2
0.2414	651.24	79.7
0.0427	374.5	38
0.2418	1204.7	60.2
0.2432	297.5	33
0.2450	344.2	64.55
0.0507	433.55	251.93
0.2505	411.4	91.7
0.0553	222.8	52.69
0.2507	499.15	128.2
0.06024	202.268	46
0.262	1146.25	126.7
0.064	222.4	26
0.2625	396.7	40.2
0.0644	221.0	29.73
0.2710	608.9	37.6
0.0659	457.7	59.13
0.2764	640.6	132.3
0.066	565.17	516.1
0.2785	583	22
0.068	189.4	87
0.2796	384.8	42.2
0.07	438.9	43.8
0.2846	441.08	54.4
0.0713	189.4	33.37
0.287	491.15	37.9
0.07132	184.5	70.1
0.2913	363.6	57.3
0.0715	206.0	27.1
0.3004	396.97	89.1
0.0729	302.1	89.76
0.3010	532.5	125.6
0.0771	219.46	115
0.3214	361.42	40.5
0.0783	186.3	70.36
0.3238	368.7	48.67
0.0894	269.53	55.2
0.3270	451.2	39.2
0.0940	590.6	38.5
0.3304	536	152
0.098	413	123
0.3355	491.2	49.9
0.105	411.51	50
0.3439	635.0	63.4
0.1059	165.8	47.9
0.3510	437.0	101.6
0.3610	686.55	89.5
0.1079	331.6	25.05
0.36295	637.34	118.3
0.11	187.8	27.7
0.3619	440.1	34
0.1119	169.4	70.03
0.3688	577.8	36
0.1139	631.28	55.2
0.37	483.1	37.9
0.1178	339	37
0.3714	468.1	38.6
0.1184	291.3	26.97
0.3778	321.4	57.8
0.1185	357.4	40.1
0.381	449.5	31
0.1223	706.1	134.13
0.1224	221.961	35.66
0.4525	586.96	39.2
0.1265	345.15	39.1
0.127	601.8	36
0.4779	462.24	45.4
0.1293	251.9	121.2
0.491 	656.8 	41
0.13	527.65	49.7
0.5220	593.1	56.4
0.1384	176.49	55.5
0.5310	828.0	38.5
0.1415	578.78	56.2
0.5535	696.4	104.9
0.1464	420.1	36.29
0.5540	706.7	44.4
0.1569	329.9	145
0.60	959.2	83.5
0.157	316.4	50
0.6220	623.25	37.6
0.158	314.99	40.3
0.6600	760.8	37
0.1608	380.25	27
0.968	1462.0	90.3
0.177	500.15	40
0.9750	1391.05	43.9
0.1839	246.0	40.0
1.016	1458.1	30.9
0.1918	364.3	92.39
1.354	1342.9	138.8
